Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,Alpha Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Alpha Mean,Alpha Std,Alpha Max,Alpha Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.73194224,0.1953125,0.88300574,4.0,-8.253624,1.7645147,-0.40515107,-10.000046,2.0,1.1029148,1.1039233,-5.118284,0.0050267666,0.023127617,0.010421867,0.048995845,0.0055341586,0.024082687,0.012118448,0.043018293,2.4135457e-05,0.19994000899928868,0.0,0.19994000899928868,0.19994000899928868,-0.18016869,0.36460355,1.0206742,-1.3127546,0.0036666158,0.004609808,0.016110899,-0.0063476083,0.0067357216,0.007374983,0.030766279,-0.0018601569,2.314750466274172,0.6998460151717445,3.467280183606342,1.0044744864115729,236.03404754576428,1.5934751042230695,239.27289740201877,232.83226776232232,0.0049760803,0.24451244,0.91894376,-0.57822573,101.96954314720813,0.5867282548954269,103,101,10,1.0873045971690067,0.7678813205371556,4.417734098517354,-3.608031042252304,1087.3045971690062,171.36418984964476,1370.6699710301793,832.6425963505029,0.036906827,0.63316095,0.999349,-0.99918646,1000.0,0.0,1000,1000,236.03404754576428,6,10000,10,110.2062496159997,0,10.309207479003817,120.51545709500351,133.29212435999943,0
0.019176148,0.9902344,0.00035710167,4.0,-8.46858,2.4090319,-0.6403545,-10.000046,2.0,8.094041,6.597662,1.3776078,316.54733,-315.91675,79.68449,-28.331347,-470.5811,-316.88568,80.440735,-28.892452,-479.33716,0.18795708083269386,0.0,0.18795708083269386,0.18795708083269386,3.8239787,2.7344317,12.067435,-3.8425899,-0.06220383,1.39779,2.5863066,-3.8999853,-0.50974345,0.15066554,-0.12135255,-1.3180118,1.0933684977709777,0.4985370229423494,1.962409609948045,0.36682236207322255,101.78497899016799,4.38151603760725,143.6575369503564,99.12766047424827,0.20114747,0.38018608,0.91095877,-0.8463844,93.09302325581395,5.711733958563953,146,91,10,1.0375112924360927,0.5832715035642899,4.685067773000976,-1.3129049381087243,1037.5112924360926,240.1364449680575,1505.559907618238,772.7302126867954,-0.04193855,0.71073365,0.99960023,-0.9999738,1000.0,0.0,1000,1000,101.78497899016799,16,20000,20,189.64189687999897,12.790065084998787,12.18244834899815,214.6144103139959,348.873897141988,1
0.022844413,0.9941406,0.019917673,4.0,-8.314961,2.5708652,-0.634205,-10.000046,2.0,36.778248,29.109024,0.073782295,699.4965,-697.88367,213.8187,-151.18211,-1133.9995,-699.0702,214.22295,-147.45403,-1134.5671,0.3939113518420678,0.0,0.3939113518420678,0.3939113518420678,3.079184,2.1364884,8.610904,-4.242681,0.13107045,1.1842163,2.617567,-2.401047,-0.55696166,0.26059306,-0.029798046,-1.4861629,1.9183611519457804,0.31701834771955095,2.6629198358854413,0.9536224399551659,196.9222316846087,1.4043262584361758,199.8729177423997,193.14041401816812,0.23895796,0.46330708,0.9931662,-0.83058095,102.65128205128205,1.2201033573014854,105,100,10,1.0806393328665027,0.6081230944429925,3.49998845122732,-1.2784729644209976,1080.6393328665024,235.172193197042,1325.5874486201474,678.1969164492477,0.032186437,0.60775334,0.9993197,-0.9983131,1000.0,0.0,1000,1000,196.9222316846087,26,30000,30,184.75373727400438,13.760256849993311,11.963236860989127,210.47723098498682,557.3976431109768,2
0.024325488,0.9980469,0.027915094,4.0,-7.744406,2.6883156,-0.555243,-10.000046,2.0,34.686905,43.576424,-0.05548773,1032.8141,-1034.5613,296.6992,-226.70872,-1726.3185,-1034.2775,296.85193,-233.46729,-1723.1051,0.5083064417697976,0.0,0.5083064417697976,0.5083064417697976,2.9179888,2.1979828,8.590466,-2.9470046,0.23773058,1.1244644,2.6121058,-2.3111758,-0.62192875,0.21913852,-0.15028864,-1.7990767,1.8465157415579647,0.2570158646988125,2.418641456108149,1.006961783751878,268.33352667538713,1.3075320213145685,271.27289575533257,265.4332935050272,0.05148298,0.2754299,0.98710406,-0.42975092,145.31884057971016,0.7120648403790287,147,144,10,1.1995639025962563,0.6647439131264816,3.697648029373624,-0.9355984140278298,1199.563902596256,123.91474758394793,1483.0535614399757,1084.117498805407,-0.08121564,0.5404929,0.9979848,-0.99958616,1000.0,0.0,1000,1000,268.33352667538713,36,40000,40,178.34572530800506,11.808029007996083,12.118468175984162,202.2722224919853,760.0822616019577,3
0.032495186,0.9941406,0.031872228,4.0,-7.6873074,2.760343,-0.8030027,-10.000046,2.0,87.91244,83.53794,-0.19239247,1067.0406,-1078.222,309.18323,-256.49026,-1704.5161,-1076.6003,309.18964,-253.89807,-1700.5164,0.5218579941885556,0.0,0.5218579941885556,0.5218579941885556,2.7039561,1.9469374,9.327651,-3.6433148,-0.07166384,1.033301,2.7449234,-2.657165,-0.79578257,0.3120293,-0.20879114,-2.1389716,1.0996897376270505,0.23910064929801414,1.9542477971435224,0.7831961401829594,580.4625462453521,436.65207952903603,1041.236229454641,164.46051285312575,0.25203058,0.45283824,0.97573227,-0.7571678,527.8421052631579,447.928831654256,1000,102,10,1.1305651533934324,0.47897550387135107,3.181731969196112,-0.835692409866832,1130.5651533934329,45.164718777494464,1191.2425439766678,1031.1122109291446,0.024699103,0.64469904,0.9999684,-0.9999999,1000.0,0.0,1000,1000,580.4625462453521,46,50000,50,174.33611649599334,12.218016206999891,12.260205654005404,198.81433835699863,958.7252409029461,4
0.029032916,1.0,0.070680805,4.0,-5.933075,3.1276171,-0.5328833,-10.000046,2.0,91.1102,33.566784,0.095899805,1124.8915,-1121.0964,335.10886,-346.09628,-1760.5167,-1123.5818,334.6008,-345.21216,-1764.9459,0.6473050916124381,0.0,0.6473050916124381,0.6473050916124381,3.2203138,2.1082559,9.860452,-2.5477328,0.2955195,1.1189198,2.8739395,-1.9889576,-0.82679063,0.28603292,-0.15455577,-1.868755,1.4591405679073364,0.25997359365208206,2.2233108473666383,1.0084176405079537,335.90422177066813,2.962225623790495,348.75612517700625,329.89174589231544,0.03519767,0.2968945,0.9900699,-0.8105855,230.20689655172413,3.543288721838788,241,223,10,1.0533093624973424,0.21387566164122618,2.8330006441971785,0.4880288522611609,1053.3093624973426,28.860283969379545,1138.2704828187425,1031.962889372886,0.17656231,0.47606125,0.9995468,-0.9758093,1000.0,0.0,1000,1000,335.90422177066813,56,60000,60,170.47178048300702,12.04205653599638,12.047775337996427,194.56161235699983,1153.5517892979478,5
0.037531845,0.9980469,0.023980584,4.0,-5.8694253,3.0778818,-0.6499249,-10.000046,2.0,11.299049,23.418253,0.026908262,890.14526,-886.5193,412.6076,-393.78775,-1630.4243,-886.05145,412.11313,-389.1634,-1630.5543,0.614628891435393,0.0,0.614628891435393,0.614628891435393,3.0552819,1.8022996,7.4426455,-2.5759172,0.3764679,0.9772387,2.3276355,-2.0095823,-0.85223037,0.3258213,-0.18702562,-1.921448,2.0766916568873586,0.5318890996001653,3.143987798054927,1.006100027943175,348.0362159305139,2.1161274539537196,354.23041797738875,343.2409538464105,-0.04062393,0.3602615,0.9851869,-0.89305377,167.59166666666667,1.172574328371364,171,165,10,1.1683390973839627,0.4508988253112367,4.054277316174287,-0.3480709592696043,1168.3390973839628,46.371637356865925,1219.3019650747685,1070.3786902903312,-0.039280813,0.58447826,0.9997174,-0.9998972,1000.0,0.0,1000,1000,348.0362159305139,66,70000,70,172.1781622790004,12.317113789998984,12.156941832014127,196.6522179010135,1350.3946704909467,6
0.035546463,0.99609375,0.00865663,4.0,-7.234787,2.8803806,-0.2998194,-10.000046,2.0,37.800858,55.20668,-0.025808118,846.28424,-861.59625,396.8272,-409.9103,-1613.1895,-863.52563,398.1707,-407.91586,-1594.4451,0.5738037323892595,0.0,0.5738037323892595,0.5738037323892595,2.953536,1.9554902,10.389378,-4.037157,-0.028047666,1.1033719,2.5895057,-2.0671363,-0.83986354,0.31632486,-0.14556119,-2.1485476,1.8841034457087042,0.4635454790209751,2.8822923002638463,1.0081243206364825,399.1721058082009,1.811082488918939,403.22942926979493,394.2825725941306,0.019064674,0.21840136,0.9882699,-0.7906155,211.86315789473684,1.227839577347477,215,209,10,1.1628880578705356,0.5053106642749585,3.44340486289972,0.30675037630071755,1162.8880578705346,49.28241526112568,1207.1274236687807,1020.8287036113921,-0.18386228,0.5540458,0.9991984,-0.9974337,1000.0,0.0,1000,1000,399.1721058082009,76,80000,80,168.10335964100523,12.510130720998859,12.134953859000234,192.74844422100432,1543.356106532934,7
0.034092724,0.9941406,0.0200844,4.0,-7.1192627,2.3408756,-0.70105994,-10.000046,2.0,14.21185,8.048162,-0.38684475,1238.1335,-1234.3076,352.61356,-413.98123,-1643.0764,-1236.5278,353.61328,-416.8429,-1643.6069,0.4137881079882429,0.0,0.4137881079882429,0.4137881079882429,2.5612924,1.9197552,6.917118,-4.1751904,-0.37597486,0.901286,1.935021,-2.3062205,-0.8295622,0.34452006,-0.20587614,-2.051726,2.1042314471924914,0.5250248638629114,3.0807693973730066,0.8064925870864021,334.30559611031185,1.490131088507639,338.2816115429806,331.91587199571256,0.062607355,0.30076036,0.9995361,-0.93143,158.87301587301587,0.7764809402307941,161,158,10,1.1461404178935324,0.5239558303550843,3.5458389248544404,0.08535672948400234,1146.1404178935322,53.13968141021976,1192.1992388588517,995.2712380693496,-0.1222011,0.45354915,0.9997672,-0.99999404,1000.0,0.0,1000,1000,334.30559611031185,86,90000,90,167.52592884300975,12.72377380499529,12.13402666598995,192.383729313995,1735.854119491938,8
0.03306199,0.99609375,0.00034144055,4.0,-7.3067865,2.6567318,-0.6033089,-10.000046,2.0,13.571083,9.881634,-0.045245007,1339.237,-1342.9562,222.54564,-395.24945,-1664.9031,-1339.6022,222.9768,-395.30084,-1663.0123,0.3259921581270594,0.0,0.3259921581270594,0.3259921581270594,2.9596322,1.6652055,9.985867,-5.009804,-0.24527276,0.8687079,3.7023408,-3.2122495,-1.1032335,0.38112193,-0.18226326,-2.4429405,1.3657790172209507,0.19289918634469866,1.615757449853302,0.9732529381587552,64.46863502514177,0.45308965287056513,65.79776356724172,63.929490810591496,0.3764465,0.44561705,0.98549485,-0.5620897,47.20283018867924,0.40210707932040574,48,47,10,1.091287377412939,0.5415856604678314,4.114292246865188,-1.2366141200695286,1091.287377412939,91.0183724291369,1229.0231284168997,951.2135056097709,0.047279987,0.6647075,1.0,-0.9999708,1000.0,0.0,1000,1000,64.46863502514177,96,100000,100,171.29752593999,12.838718200997391,12.462780030982685,196.5990241719701,1932.6973214128957,9
