Inverse-Dynamic-MSE,Valid-InvDyn-MSE,Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Total Rew Mean,Total Rew Std,Total Rew Max,Total Rew Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.1895659,0.21241058,0.737705,0.31445312,0.85846925,4.0,-8.476319,2.5072727,-0.18754815,-10.000046,1.5237021,2.5072598,9.812452,0.0,1.9449033051571019,0.4463413982882199,2.6363269792328143,1.0054200579762949,156.46358109327855,3.415260451095056,162.61270874877397,147.87576620698593,0.13898116,0.75541854,0.9999828,-0.98740643,80.448,1.4167907396648245,83,77,10,2.4089904524673336,1.139258633992503,1.1932903746181438,7.07264115692428,-4.4694968056800874,1139.2586339925026,99.93077781621241,1221.2220405670205,943.1414572577337,0.22215752,0.87873244,1.0,-1.0,1000.0,0.0,1000,1000,156.46358109327855,10,10000,15,109.47879295800158,0,14.013458212997648,123.49225117099922,129.54261240300002,0
0.28018793,0.35118872,0.034002032,0.984375,0.11769532,4.0,-8.757877,2.5078762,-0.32496905,-10.000046,1.2421522,2.5078616,9.675031,0.0,2.326851351571176,0.6849672565678228,4.23590184674889,1.0096849988797074,371.8899406185741,20.64286078140819,417.07906158239604,258.2066526527889,0.24573755,0.8075439,0.9999792,-0.99938667,159.82539682539684,8.839916114195976,184,135,10,2.270975991174732,1.2483581975139613,0.9627611352282238,5.871197985294612,-3.625899961182913,1248.3581975139616,304.1658779860639,1652.864683105189,742.1078319050503,-0.13863319,0.9243112,1.0,-1.0,1000.0,0.0,1000,1000,371.8899406185741,20,20000,25,107.87589480799943,6.05978041599883,14.091022469001473,128.02669769299973,257.5278397029997,1
0.12482228,0.29205784,0.0272372,0.9941406,0.21538976,4.0,-8.113198,2.958533,-0.271097,-10.000046,1.8868221,2.9585202,9.728903,0.0,1.2555548174498643,0.4689949688830382,3.403872134447668,0.17420728316483344,147.9191287287405,60.80872706819183,374.25278764516554,102.63774026195308,0.42153367,0.7571464,0.999978,-0.99997574,117.81176470588235,28.011549768180004,223,93,10,16.519040489264363,1.4381944372466073,1.3620711766723226,7.499676392289745,-4.873003065370012,1438.1944372466073,403.83557110810113,2458.8334102811946,1149.736768298688,0.054432943,0.89664537,1.0,-1.0,1000.0,0.0,1000,1000,147.9191287287405,30,30000,35,111.25051871199867,6.020405961000506,13.96425091799756,131.23517559099673,388.5680139209999,2
0.19806659,0.2857017,0.03530734,0.9921875,0.15744716,4.0,-7.7699995,2.9676116,-0.2368611,-10.000046,2.2300158,2.9675996,9.763139,0.0,2.805426758287298,0.7734050580986551,6.163876416760573,0.8506225407518423,1155.274739062709,197.87103281595446,1589.6524718578214,851.6420491918157,0.09287576,0.83593464,1.0,-1.0,411.8,66.74249021425557,553,316,10,5.450269178862879,1.6211658916332854,1.3971615619635083,8.963689770013328,-3.6859261287448284,1621.1658916332851,277.6988927806059,1969.6639369689447,940.4608133865721,-0.006935034,0.91427314,1.0,-1.0,1000.0,0.0,1000,1000,1155.274739062709,40,40000,45,124.8237470109998,5.826308212001095,14.590984506996392,145.24103972999728,534.3830715669956,3
0.17999135,0.293656,0.08360208,0.96875,0.07546432,4.0,-7.2683606,3.270205,-0.114179,-10.000046,2.7316563,3.2701907,9.885821,0.0,2.260912125905668,0.6079275916461274,4.518962510755112,0.9231254266769102,422.6230925720706,16.163192130961036,461.71977291583954,390.0709672861914,0.026089283,0.8632872,1.0,-1.0,186.92592592592592,8.105443648268352,202,171,10,11.44247231432656,1.3847063151119146,1.0465475895049456,5.571193202859599,-2.584297230612632,1384.7063151119153,188.94736930553282,1703.0253614540095,1144.2523046764938,-0.085890986,0.89645433,1.0,-1.0,1000.0,0.0,1000,1000,422.6230925720706,50,50000,55,125.76486665300035,6.395900984000036,14.694773113002157,146.85554075000255,681.4010064429949,4
0.22386119,0.24481982,0.07186441,0.9785156,0.036690146,4.0,-5.717746,3.1369467,-0.093174726,-10.000046,4.2822566,3.1369433,9.906825,0.0,2.534254249956112,0.6813348647371827,5.1226120314455725,1.0081848456827023,1282.3326504777929,342.0819538888388,2355.6609250291217,992.271779672526,0.03283341,0.874977,1.0,-1.0,506.0,147.96181939946536,1000,384,10,6.9095993598445595,1.9607881150294488,1.1423699642084728,6.7172717393947705,-4.068373886927516,1960.7881150294493,356.0335228393765,2555.0985605543783,1457.731251009851,-0.019444523,0.88902724,1.0,-1.0,1000.0,0.0,1000,1000,1282.3326504777929,60,60000,65,125.4737929369985,6.564092336999238,14.450376876999144,146.4882621509969,827.781794480994,5
0.15025192,0.21189874,0.10219802,0.9824219,0.0060933745,4.0,-4.559759,3.1479554,-0.34773546,-10.000046,5.4402437,3.1479497,9.652265,0.0,2.0455206594379858,0.5451305942014731,4.936397848680718,0.969162600171171,981.4602935474832,239.60803643971252,1835.1665353213596,780.0079456054323,-0.023196079,0.87528765,1.0,-1.0,479.8095238095238,104.65618041842174,847,412,10,9.334107946696305,2.043235980147448,1.1112858114419126,5.233063639301237,-4.393488592621815,2043.2359801474481,300.75147193291514,2504.479268229551,1526.58456758931,-0.034760345,0.8916426,1.0,-1.0,1000.0,0.0,1000,1000,981.4602935474832,70,70000,75,133.3015452330019,6.451217425001232,14.400920682004653,154.15368334000777,981.9140367440014,6
0.10999888,0.18447402,0.13618658,0.9863281,0.01795208,4.0,-3.7555518,2.9161594,-0.3010428,-10.000046,6.2444506,2.9161549,9.698957,0.0,2.7872936036822638,0.6973863648483751,4.679549529841216,0.9603808003720828,1990.685091749873,555.8753556369777,3023.5775729019747,1040.0186217804203,0.10304248,0.8235803,0.9999975,-0.9999975,714.2,182.80598093789675,1000,395,10,4.6938201785904425,2.02776379374005,0.9656043458810938,7.154620589265808,-3.7802575578434414,2027.76379374005,261.45961855036126,2474.250988107871,1753.793829581857,0.04742461,0.8902354,1.0,-1.0,1000.0,0.0,1000,1000,1990.685091749873,80,80000,85,127.81913208699552,6.4365691210005025,14.442060008997942,148.69776121699397,1131.113519069997,7
0.14270703,0.18274526,0.16197085,0.96484375,0.022243924,4.0,-3.357542,2.5147667,-0.16146553,-10.000046,6.642459,2.5147638,9.838534,0.0,2.056558493950698,0.28945823945503013,3.49970091578858,0.9794378891867301,2056.558493950698,74.5826696642776,2144.0588295603616,1942.022242718166,0.025727065,0.89243287,0.9999995,-0.99999994,1000.0,0.0,1000,1000,10,7.282940870017328,2.257721339331739,0.940603385866512,4.882169722173085,-3.9086455139814054,2257.721339331738,260.6694732475367,2798.533705113667,1815.21257098549,0.015779957,0.8837623,1.0,-1.0,1000.0,0.0,1000,1000,2056.558493950698,90,90000,95,122.26709762100108,6.932742082999539,15.31444089300021,144.51428059700083,1275.7600376669998,8
0.10776711,0.15422559,0.15706256,0.9707031,0.0065905983,4.0,-3.626936,2.737095,-0.07310447,-10.000046,6.373065,2.7370932,9.926895,0.0,2.3616930732027672,0.46739532972942893,4.903895767928503,0.9790101616633194,1167.351147611654,504.9146971451425,2255.11211681416,660.2501485706491,0.016386779,0.88697356,1.0,-1.0,494.2857142857143,214.65923002287514,1000,292,10,10.677054172567178,2.2782360745339365,0.9166697889868363,5.553151966321517,-2.923725281989141,2278.2360745339365,218.0475679149146,2515.4953260090892,1708.3003395736291,0.037903167,0.8986054,1.0,-1.0,1000.0,0.0,1000,1000,1167.351147611654,100,100000,105,123.44274590900386,7.065371713000786,16.096991413996875,146.60510903600152,1422.422992504,9
